,Geographic Area,City,Median Income,poverty_rate,share_white,share_black,share_native_american,share_asian,share_hispanic,percent_completed_hs
10651,LA,Sibley town,37391.0,17.9,71.7,25.3,0.8,0.4,1.4,76.1
10652,LA,Sicily Island village,19205.0,41.2,34.2,64.1,0.0,0.2,0.4,74.1
10653,LA,Sikes village,45750.0,12.3,98.3,0.8,0.8,0.0,0.0,85.4
10654,LA,Simmesport town,21964.0,44.8,49.4,48.5,0.5,0.2,1.1,56.4
10655,LA,Simpson village,77656.0,9.3,95.5,0.2,2.7,0.3,2.2,90.9
10656,LA,Simsboro village,40484.0,24.5,70.9,24.5,0.8,0.1,4.2,83.7
10657,LA,Singer CDP,65181.0,18.8,93.7,2.1,2.1,0.0,2.8,100.0
10658,LA,Siracusaville CDP,25461.0,31.3,3.1,93.6,0.0,0.2,0.0,80.0
10659,LA,Slaughter town,63103.0,4.2,91.4,5.8,1.3,0.0,1.3,85.1
10660,LA,Slidell city,51958.0,16.3,76.0,17.0,0.5,1.6,6.3,87.5
10661,LA,Sorrel CDP,45978.0,11.0,44.6,53.4,0.3,0.1,1.8,77.3
10662,LA,Sorrento town,49125.0,13.6,81.1,14.6,0.4,0.7,3.3,79.6
10663,LA,South Mansfield village,16750.0,54.5,21.4,75.7,0.0,0.0,1.4,67.9
10664,LA,South Vacherie CDP,57193.0,5.6,64.6,34.2,0.1,0.0,1.3,83.4
10665,LA,Spearsville village,39375.0,18.9,89.8,6.6,0.7,0.0,2.9,75.9
10666,LA,Spokane CDP,78403.0,7.9,93.7,4.1,0.0,0.2,0.2,97.6
10667,LA,Springfield town,46875.0,15.1,94.3,4.7,0.0,0.0,0.6,84.8
10668,LA,Springhill city,26899.0,36.0,63.6,34.0,0.4,0.4,1.6,77.0
10669,LA,Stanley village,46406.0,7.1,95.3,0.0,2.8,0.0,2.8,88.1
10670,LA,Starks CDP,21591.0,51.6,94.3,5.0,0.3,0.0,0.6,64.3
10671,LA,Start CDP,61953.0,11.5,95.5,3.2,0.2,0.1,0.8,87.4
10672,LA,Sterlington town,45221.0,22.5,78.2,16.9,0.2,0.8,4.0,87.9
10673,LA,Stonewall town,69625.0,10.2,90.0,7.3,1.1,0.3,1.8,88.5
10674,LA,Sugartown CDP,41635.90570175439,22.368644067796623,90.7,1.9,3.7,0.0,0.0,79.24576271186439
10675,LA,Sulphur city,46775.0,18.0,89.8,6.2,0.4,0.8,3.4,86.8
10676,LA,Sun village,36591.0,18.0,83.0,12.8,0.6,0.4,1.9,73.6
10677,LA,Sunset town,36830.0,24.6,47.6,49.5,0.5,0.1,2.7,83.2
10678,LA,Supreme CDP,31250.0,39.9,14.4,83.8,0.6,0.0,1.4,63.2
10679,LA,Swartz CDP,39489.0,22.0,80.0,17.2,0.5,1.0,1.0,94.8
10680,LA,Taft CDP,41635.90570175439,0.0,100.0,0.0,0.0,0.0,3.2,78.2
10681,LA,Tallulah city,23317.0,39.9,21.5,76.6,0.2,0.3,1.1,76.3
10682,LA,Tangipahoa village,25368.0,43.7,7.8,91.4,0.0,0.3,0.3,84.2
10683,LA,Terrytown CDP,43363.0,24.5,44.8,39.8,0.4,4.1,17.4,83.6
10684,LA,Thibodaux city,39512.0,19.6,63.7,32.8,0.6,1.0,2.0,76.1
10685,LA,Tickfaw village,40625.0,11.3,75.2,13.7,0.4,0.3,14.4,75.3
10686,LA,Timberlane CDP,56308.0,13.3,51.3,35.5,0.5,5.7,11.6,81.3
10687,LA,Triumph CDP,52917.0,3.7,65.7,21.8,0.9,5.1,4.2,89.1
10688,LA,Tullos town,32813.0,22.8,94.5,0.8,2.6,0.0,1.6,75.6
10689,LA,Turkey Creek village,40000.0,23.8,98.9,0.2,0.0,0.0,0.7,78.4
10690,LA,Union CDP,25703.0,66.2,19.6,80.2,0.0,0.2,0.2,66.6
10691,LA,Urania town,36667.0,12.2,68.3,30.5,0.2,0.1,1.4,69.7
10692,LA,Varnado village,25500.0,33.4,41.2,58.5,0.2,0.0,0.3,73.9
10693,LA,Venice CDP,31818.0,22.6,84.7,5.9,2.0,1.0,1.5,55.6
10694,LA,Ventress CDP,55577.0,10.3,91.6,6.7,0.1,0.0,2.7,92.1
